Year ▾,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2015,30,1125,28.6,4.13,2276,37.60,33.94,4.13,8.59,1.66,0.18,0.95,3.93,0.54,0.24,2.83,7.57,.253,.314,.396,.711,13.45,0.76,0.32,0.24,0.25,0.21
2014,30,1320,28.5,4.07,4860,37.85,34.08,4.07,8.56,1.67,0.17,0.86,3.86,0.57,0.21,2.88,7.70,.251,.314,.386,.700,13.17,0.74,0.34,0.28,0.26,0.20
2013,30,1304,28.5,4.17,4862,38.02,34.16,4.17,8.66,1.69,0.16,0.96,3.96,0.55,0.21,3.01,7.55,.253,.318,.396,.714,13.54,0.77,0.32,0.28,0.25,0.21
2012,30,1284,28.5,4.32,4860,37.90,34.00,4.32,8.65,1.70,0.19,1.02,4.11,0.66,0.23,3.03,7.50,.255,.319,.405,.724,13.78,0.74,0.31,0.30,0.25,0.22
2011,30,1295,28.7,4.28,4858,38.13,34.11,4.28,8.70,1.73,0.18,0.94,4.08,0.67,0.26,3.09,7.10,.255,.321,.399,.720,13.61,0.73,0.32,0.34,0.26,0.25
2010,30,1249,28.9,4.38,4860,38.18,34.02,4.38,8.76,1.75,0.18,0.95,4.17,0.61,0.23,3.25,7.06,.257,.325,.403,.728,13.71,0.77,0.32,0.32,0.27,0.25
2009,30,1266,28.8,4.61,4860,38.49,34.13,4.61,8.96,1.80,0.20,1.04,4.40,0.61,0.23,3.42,6.91,.262,.333,.418,.751,14.26,0.78,0.33,0.34,0.28,0.24
2008,30,1291,28.8,4.65,4856,38.64,34.33,4.65,9.06,1.86,0.18,1.00,4.44,0.58,0.21,3.36,6.77,.264,.333,.416,.749,14.29,0.80,0.34,0.31,0.28,0.27
2007,30,1278,29.1,4.80,4862,38.80,34.51,4.80,9.25,1.89,0.19,1.02,4.58,0.60,0.21,3.31,6.62,.268,.336,.423,.758,14.59,0.82,0.36,0.32,0.30,0.27
2006,30,1242,29.2,4.86,4858,38.71,34.45,4.86,9.28,1.88,0.20,1.11,4.63,0.57,0.23,3.26,6.52,.269,.337,.432,.768,14.88,0.81,0.37,0.34,0.29,0.29
2005,30,1237,29.3,4.59,4862,38.32,34.21,4.59,9.05,1.82,0.18,1.03,4.37,0.53,0.22,3.13,6.30,.264,.330,.419,.749,14.33,0.80,0.37,0.33,0.27,0.25
2004,30,1247,29.3,4.81,4856,38.83,34.46,4.81,9.17,1.84,0.18,1.12,4.58,0.53,0.23,3.34,6.55,.266,.335,.428,.763,14.74,0.78,0.38,0.36,0.28,0.28
2003,30,1230,29.2,4.73,4860,38.57,34.31,4.73,9.07,1.82,0.19,1.07,4.50,0.53,0.23,3.27,6.34,.264,.333,.422,.755,14.48,0.79,0.38,0.33,0.27,0.27
2002,30,1218,29.2,4.62,4852,38.46,34.13,4.62,8.92,1.79,0.19,1.04,4.40,0.57,0.26,3.35,6.47,.261,.331,.417,.748,14.22,0.79,0.36,0.34,0.29,0.30
2001,30,1220,29.1,4.78,4858,38.49,34.22,4.78,9.03,1.81,0.19,1.12,4.55,0.64,0.29,3.25,6.67,.264,.332,.427,.759,14.60,0.75,0.39,0.33,0.29,0.28
2000,30,1230,29.1,5.14,4858,39.16,34.44,5.14,9.31,1.83,0.20,1.17,4.89,0.60,0.27,3.75,6.45,.270,.345,.437,.782,15.05,0.80,0.32,0.34,0.31,0.25
1999,30,1209,28.9,5.08,4856,39.06,34.42,5.08,9.33,1.80,0.19,1.14,4.83,0.70,0.31,3.68,6.41,.271,.345,.434,.778,14.93,0.79,0.33,0.33,0.30,0.23
1998,30,1186,28.9,4.79,4864,38.71,34.36,4.79,9.15,1.80,0.18,1.04,4.54,0.68,0.31,3.38,6.56,.266,.335,.420,.755,14.44,0.76,0.33,0.35,0.29,0.22
1997,28,1123,28.9,4.77,4532,38.73,34.30,4.77,9.15,1.77,0.19,1.02,4.52,0.73,0.35,3.46,6.61,.267,.337,.419,.756,14.38,0.76,0.32,0.35,0.31,0.26
1996,28,1141,28.8,5.04,4534,39.10,34.58,5.04,9.33,1.76,0.19,1.09,4.76,0.71,0.30,3.55,6.46,.270,.340,.427,.767,14.76,0.80,0.31,0.34,0.31,0.30
1995,28,1133,28.6,4.85,4034,38.85,34.35,4.85,9.17,1.72,0.20,1.01,4.57,0.73,0.31,3.53,6.30,.267,.338,.417,.755,14.33,0.78,0.30,0.37,0.29,0.27
1994,28,991,28.7,4.92,3200,38.90,34.46,4.92,9.29,1.79,0.22,1.03,4.64,0.71,0.32,3.48,6.18,.270,.339,.424,.763,14.62,0.76,0.27,0.38,0.31,0.32
1993,28,1104,28.4,4.60,4538,38.47,34.15,4.60,9.05,1.64,0.21,0.89,4.32,0.72,0.37,3.33,5.80,.265,.332,.403,.736,13.77,0.76,0.26,0.40,0.32,0.33
1992,26,1007,28.4,4.12,4212,38.12,33.93,4.12,8.68,1.56,0.20,0.72,3.87,0.77,0.38,3.25,5.59,.256,.322,.377,.700,12.80,0.74,0.23,0.40,0.31,0.31
1991,26,1034,28.5,4.31,4208,38.20,33.98,4.31,8.69,1.54,0.21,0.80,4.05,0.74,0.37,3.32,5.80,.256,.323,.385,.708,13.07,0.72,0.22,0.39,0.30,0.29

